,tweet_id,retweet_count,favorite_count
129,856288084350160898,15,493
130,857393404942143489,1557,5650
131,863471782782697472,2268,0
132,863432100342583297,4894,22595
133,860563773140209665,2012,7140
134,870656317836468226,2415,11607
135,870308999962521604,3811,20619
136,863079547188785154,1038,8342
137,870063196459192321,7641,34359
138,855818117272018944,5184,25727
139,865718153858494464,5220,24316
140,871762521631449091,3198,18973
141,861383897657036800,10031,34343
142,871102520638267392,5048,19649
143,870804317367881728,5684,31628
144,871166179821445120,5239,0
145,857263160327368704,4288,19264
146,860981674716409858,2012,0
147,859851578198683649,3307,14756
148,869702957897576449,5806,26576
149,867774946302451713,6796,32075
150,857989990357356544,2456,15437
151,856526610513747968,1785,11427
152,863062471531167744,2268,8027
153,855138241867124737,43,0
154,856543823941562368,2740,15701
155,871032628920680449,3507,21365
156,866686824827068416,3237,18232
157,855857698524602368,2012,11453
158,871879754684805121,10036,35268
159,855459453768019968,7867,28771
160,857029823797047296,3777,18109
161,869596645499047938,2879,15039
162,872820683541237760,3403,13807
163,865006731092295680,7158,26573
164,862831371563274240,4813,18247
165,871515927908634625,3188,18945
166,859607811541651456,1473,17813
167,856282028240666624,5995,26716
168,868552278524837888,1917,9503
169,855862651834028034,24,324
170,861005113778896900,3573,15916
171,866334964761202691,13229,49578
172,854120357044912130,7169,30998
173,862722525377298433,3306,16272
174,857746408056729600,10071,32855
175,857062103051644929,161,0
176,872486979161796608,8270,38222
177,861288531465048066,3875,16353
178,860276583193509888,3295,17532
179,860524505164394496,4983,22562
180,868622495443632128,4892,25149
181,859924526012018688,3862,18711
182,855245323840757760,5691,0
183,857214891891077121,17,216
184,867900495410671616,3861,22852
185,865359393868664832,4651,25057
186,870726314365509632,3,114
187,860177593139703809,29098,0
188,867421006826221569,2303,15192
189,872122724285648897,7393,32176
190,854365224396361728,4504,18288
191,867072653475098625,110,0
192,852672615818899456,2079,14506
193,840632337062862849,1744,8916
194,852553447878664193,3347,15859
195,838561493054533637,1322,10874
196,849051919805034497,8248,41483
197,842115215311396866,2989,13833
198,843856843873095681,4546,21190
199,847971574464610304,422,0
200,844223788422217728,2161,13485
201,845812042753855489,8521,28776
202,842846295480000512,3584,15106
203,850753642995093505,8838,30096
204,840370681858686976,4493,16310
205,840728873075638272,15890,0
206,847617282490613760,402,6864
207,852226086759018497,6625,19476
208,853760880890318849,5523,27719
209,847157206088847362,5730,19561
210,843235543001513987,5920,21266
211,836989968035819520,2276,12700
212,844979544864018432,2508,13449
213,847978865427394560,3173,0
214,840696689258311684,962,12181
215,837471256429613056,2255,12702
216,842535590457499648,3457,17903
217,846874817362120707,3844,19774
218,838952994649550848,3950,19520
219,842163532590374912,5691,24155
220,847842811428974592,1295,5337
221,843604394117681152,2694,16678
222,848212111729840128,2959,16013
223,842765311967449089,1257,6650
224,841320156043304961,5427,19613
225,853299958564483072,3436,15052
226,841833993020538882,14829,0
227,837110210464448512,2344,15967
228,838201503651401729,9946,0
229,837820167694528512,7782,33887
